node	Caribbean	Central America	Central Asia	Eastern Africa	Eastern Asia	Eastern Europe	Middle Africa	Northern Africa	Northern America	Northern Europe	South America	South-Eastern Asia	Southern Africa	Southern Asia	Southern Europe	Western Africa	Western Asia	Western Europe
root	0.00443915714538313	0.02015666740103962	0.00632087831587014	0.04063911803053807	0.31840551260155614	0.07116045356377261	0.0560558981561188	0.00639299731165544	0.15117116137047087	0.026238473682859646	0.013555200500743115	0.04744832293828951	0.035167261941017554	0.11157790212733339	0.015126661931372737	0.047791191673472705	0.012668934004651675	0.015684207303855047
n0	0.0033992631024750922	0.022434738483164542	0.004838897716363358	0.03111153784021597	0.18903262150437833	0.05448272160789541	0.05861402584436795	0.007046500241859075	0.3077464976528589	0.020097164899526752	0.010480868997762346	0.028240552829672503	0.06774912944232422	0.07341069092043613	0.011580143697077142	0.08802689140750508	0.009700601127753923	0.012007152684363292
n1645	0.004155281618260312	0.017707292848809876	0.005916883251354183	0.038041596416647734	0.3811428593200073	0.06661121467775129	0.04987032508595225	0.0056275825729346675	0.10967749490536102	0.0245597151435702	0.012671621853257101	0.05202893946078062	0.026151502782169555	0.12892812735516265	0.014159842490533849	0.0362091228694088	0.011858875257313044	0.014681722090725468
n00	0.0017002269223634317	0.024364855686400486	0.002417884927301503	0.015546815909304875	0.14016400196820655	0.027235785375858565	0.024233207961361445	0.007563563339760888	0.5144202470324178	0.010061830042517267	0.005431991271827445	0.012635784847829484	0.11053353215204016	0.059629015757593405	0.0057864210575479065	0.02742377927982358	0.0048509222175423476	0.0060001342503027836
n1508	0.004815885628455714	0.021510592383281794	0.006857364254699389	0.04408834221893605	0.10538632491291053	0.0771998862734677	0.1211913973100787	0.0068259323921864455	0.15421782162753642	0.02846493430379372	0.014700412461368042	0.0332929511706991	0.0360718057870698	0.04854351971159351	0.016410538200058358	0.2496627847642064	0.01374411064676091	0.017015395952897423
n16451645	0.00045681937226173876	0.0016846668009757276	0.0006505327189844246	0.004182467715807255	0.8785130640636939	0.007323341325440697	0.004895303474365546	0.0005381595774074257	0.00487108539021496	0.002699828526704531	0.0013892984869129366	0.07875054097046494	0.001347036766654971	0.006167576943313565	0.0015568044199222844	0.002055546644496854	0.001303751152148618	0.0016141756502294398
n2336	0.0003584004253864934	0.0012412326460118303	0.0005103941795473156	0.003281468751603126	0.004504320010806595	0.005745664686489154	0.003660245801744549	0.0003974835711754875	0.0016142042032188059	0.0021181073752656434	0.0010888208695704277	0.002426943054116282	0.0005874867269765845	0.967933125766602	0.0012214351798977836	0.0010213489256359475	0.0010228725172970543	0.0012664453086550821
n1	0.001623156348531705	0.02822687218640277	0.0023073720189600833	0.014836643235013528	0.11090342912139703	0.025988000372562055	0.02188075713939266	0.008746929106053996	0.5386522828681315	0.00959710349525557	0.005257449978744327	0.01169491694094706	0.1344852046719373	0.04782934290633996	0.005521979124069681	0.022091880254550927	0.0046306248447962025	0.005726055386913708
n10831083	0.0014103388429688552	0.007601074386730267	0.0020079498973304428	0.012909906384220987	0.2525302017087763	0.022696940186940733	0.01524428013472766	0.0023989925501899587	0.4647709977450247	0.008485447990969147	0.004323825309858123	0.00906904728501736	0.018154396145793124	0.15779923768356136	0.004805286648159106	0.006784768419969588	0.004024875330984016	0.004982433348778269
n15081508	0.00018324371797264974	0.0006684484287765153	0.00026094919552075243	0.0016777191286976897	0.0016380537879858708	0.002937616530163805	0.002556354479960305	0.00021362186517747057	0.0017531377241101513	0.0010829753988933926	0.0005571829052959853	0.0011687082403774901	0.0004976429636716935	0.0010371836643030237	0.0006244833131606011	0.9819722085016045	0.0005229736238857649	0.0006474965304424055
n16441644	7.56493204296375e-09	2.620144355003434e-08	1.0773137722562151e-08	6.926355413442617e-08	4.5579211788900797e-08	1.2127653577651167e-07	0.9999993954742147	8.390537426197944e-09	3.413055798653084e-08	4.4707923838632324e-08	2.2982302436219613e-08	4.733667181879089e-08	1.2412862460457264e-08	3.529104317518129e-08	2.5781425312368245e-08	4.451190242216723e-08	2.1590267396247256e-08	2.673147600706278e-08
n1646	0.00036577943529842165	0.001324142536576993	0.0005208920251281259	0.0033489671822651995	0.8882300707831623	0.005863894660546132	0.003864159871907884	0.0004232925659899062	0.003220520857432026	0.0021617589664569246	0.0011120661945383298	0.07940256237230864	0.0009340469725073019	0.004181079210914203	0.0012465581986109457	0.0014637850902723818	0.0010439274629458187	0.001292495613138217
n2019	0.0002301355303993676	0.0007946375006898301	0.00032773396307778736	0.0021070942810638284	0.8884090547479634	0.003689400117737426	0.0023449748672093357	0.0002544998781955247	0.000971208555101376	0.0013600740908157557	0.0006991176164363561	0.09410086560776443	0.0003633517830609842	0.0014551963823997139	0.0007843071094805492	0.0006383335245370928	0.0006568055241328525	0.0008132089199344939
n23362336	1.0539087271746996e-05	3.615121061246167e-05	1.5008664405652209e-05	9.649492552965915e-05	9.790488392396238e-05	0.0001689568451378967	0.0001068520258759073	1.1581311750801138e-05	3.7912720561383976e-05	6.228459704684293e-05	3.201272991048972e-05	6.885700641852886e-05	1.5244142968317762e-05	0.9991094884831185	3.591755196310173e-05	2.7474185630151338e-05	3.0078516089926002e-05	3.724111178469725e-05
n2396	1.3830404572913652e-07	4.697331329790523e-07	1.9695899653201686e-07	1.2663044028265186e-06	8.20866510331068e-07	2.217219702193079e-06	1.391730203704938e-06	1.5054359422690534e-07	3.692262886775285e-07	8.173549614566843e-07	4.200343276431112e-07	8.699100133635163e-07	1.727693096049258e-07	0.9999890180899157	4.7134670418295446e-07	3.2617259012666053e-07	3.947196183734873e-07	4.887156822632082e-07
n11	0.0009705718550993378	0.06348186664904823	0.0013711505890777525	0.008820554822525719	0.027751968089658883	0.01543847441817028	0.010924499127290979	0.01955174215522831	0.7759014403637142	0.005694983498672377	0.003816409918275313	0.00634314204700425	0.030888171301375375	0.013274351890539356	0.003281749910186459	0.006319592781866976	0.0027650777692915978	0.0034042528129746394
n10391039	3.581689956101297e-05	0.000188177308859689	5.099469358227592e-05	0.0003278660453306847	0.0004749275796787189	0.000574099640826665	0.00037594454408467653	5.943144042935946e-05	0.0016592305687661993	0.00021168519750925963	0.00010973752556855443	0.00022705065052928893	0.9949462143755952	0.0002724380009540902	0.00012203693543372687	0.0001355969532700997	0.00010221594473376113	0.00012653569528664818
n1084	0.0012358070747842376	0.0054745261983991725	0.0017596803488536244	0.011313583540336639	0.11818937532265916	0.019851759013660552	0.012900968947145914	0.0017376795955617629	0.5158115625626803	0.007595428433895398	0.003771626816743618	0.007813910207767635	0.008992127844549284	0.26700375734576315	0.004211136865569318	0.004443833045755436	0.003526887549719824	0.00436634928615476
n14611461	2.1547658240250252e-05	8.067509147394052e-05	3.068467765642798e-05	0.00019728099137308744	0.984882680797287	0.0008635287644990477	0.00021924966492360888	2.5756606105944533e-05	0.0013142101698488864	0.00012775538129587523	6.554913763493338e-05	0.00013458877413338708	7.06016322387997e-05	0.011696050656242196	7.343219781791812e-05	5.877306976996288e-05	6.149638261186e-05	7.613834684699486e-05
n1509	3.554585823245231e-07	1.233354220662724e-06	5.062043087743692e-07	3.2545310792404825e-06	2.1765891005174176e-06	5.698500132995205e-06	0.00011314906408332895	3.9493077695843156e-07	1.6643097429996156e-06	2.1007231136262986e-06	1.0799168900378318e-06	2.225684597094002e-06	5.961349324130258e-07	1.6701704083169893e-06	1.2114083270741338e-06	0.9998604124943523	1.0144763267050834e-06	1.2560490246282057e-06
n1639	7.214624495057416e-07	2.5104695794216854e-06	1.0274247156121159e-06	6.605605513220219e-06	4.531131391503796e-06	1.1566047738796784e-05	8.260233909789184e-06	8.037817109002325e-07	3.5746916591271297e-06	4.263773067620891e-06	2.19197487416809e-06	4.522086524855393e-06	1.2517765514820437e-06	3.428603749582424e-06	2.4587520487985473e-06	0.9999376737784207	2.0590482353409175e-06	2.5493578593722987e-06
KU055523	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KU055522	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n16461646	5.786193089096203e-05	0.000202393913721568	8.240018406903311e-05	0.0005297742915002519	0.9658766205052554	0.000927606117821908	0.0005954180860777849	6.47872991942713e-05	0.0003155475314576603	0.0003419591753901848	0.00017581352218149672	0.029531512107135324	0.00010652847268436987	0.00044537551290764216	0.00019719364920632305	0.0001796099581307685	0.0001651374157608299	0.0002044603266142851
n1921	0.00011637476779215632	0.0003943042593722831	0.00016572965337528485	0.0010655221532387355	0.016437243782561603	0.0018656618289524531	0.001168933162039747	0.00012638209005999418	0.00028466181491190756	0.0006877557068735971	0.00035342063301453306	0.9752808610289053	0.0001398428574876254	0.0005058509199020567	0.0003966111016667065	0.00026748461113692987	0.00033213355722415454	0.0004112260714849688
n20192019	0.00018594962157343528	0.0006332407735617636	0.00026481082254322866	0.00170254288572463	0.8025021110383398	0.0029810472594797577	0.00187495665408967	0.00020292353340584267	0.0005426434214084529	0.001098934000548523	0.0005647599678692203	0.18402545667364373	0.00024211511663255867	0.0009060869052288645	0.0006337243434189699	0.0004509201424436311	0.0005306999095582451	0.0006570769305296083
n2327	2.0435311936762672e-05	6.927320425150945e-05	2.9101982401194517e-05	0.00018710476241497323	0.997794174687864	0.0003276086187300372	0.00020533923448072357	2.2202947359822282e-05	5.0910841690852926e-05	0.00012076935211966498	6.2060854232463e-05	0.0007490128246402987	2.4752846196146258e-05	8.985692995553727e-05	6.964456332827972e-05	4.721772601648861e-05	5.8322372227069915e-05	7.221094015387611e-05
n2337	4.520643639041891e-07	1.5309434657326132e-06	6.437863451624636e-07	4.139081861825124e-06	2.2428565467631554e-06	7.247269703360764e-06	4.539097560700047e-06	4.907067514383157e-07	1.0851123889151944e-06	2.671625362871e-06	1.3728715474742883e-06	2.8114340250432456e-06	5.388321470327006e-07	0.9999647725152848	1.540658569661993e-06	1.0335211972976457e-06	1.2901916396159668e-06	1.597431238394991e-06
n2375	9.597370156792168e-08	3.258680228778587e-07	1.3667630812518512e-07	8.78730153063441e-07	5.601880093303036e-07	1.5386013910553484e-06	9.655538142585929e-07	1.0443788025535216e-07	2.536092517878627e-07	5.671892748426992e-07	2.914741865698899e-07	6.029734789794207e-07	1.1933532277352976e-07	0.9999923936189455	3.2708293796176065e-07	2.2564261869175002e-07	2.7390886315664794e-07	3.3913583906045676e-07
n23962396	1.1413271794520653e-18	3.870441820720679e-18	1.6253668177396247e-18	1.0449936767001407e-17	6.1849975471859464e-18	1.8297180248116793e-17	1.1471669895701878e-17	1.2405064919886533e-18	2.884068652539405e-18	6.745058106632332e-18	3.466165685679356e-18	7.135977752383102e-18	1.391109822224031e-18	1.0	3.8896993686127014e-18	2.6480371523589117e-18	3.257347199571198e-18	4.033033414185069e-18
JX944595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n2	0.0005058144376057852	0.03122705074484661	0.0007063495689521307	0.004547706170198841	0.011790345646310516	0.007952896180925347	0.0054912693153901125	0.023969049387363182	0.8787855690413595	0.0029332458067624343	0.0026361742308593826	0.0032278335014806927	0.012691430710701765	0.005843469199371217	0.0016909126314479728	0.0028083241239833644	0.0014373473239356655	0.0017552119785056725
n10381038	8.47151677033514e-05	0.9893445558479391	0.00012059176370078838	0.000775341537926029	0.000512449809158835	0.001357546920158482	0.0008557685153698702	0.00017802406082828787	0.0038004289581034154	0.0005004619112017424	0.000261313689526621	0.0005272191466658575	0.00023852012707552698	0.0004017976734839582	0.00028859262996985683	0.00021168365160589234	0.0002417541208051378	0.00029923446877720965
n1040	1.244409558950834e-07	6.136365764958073e-07	1.771815092031615e-07	1.1407853293456356e-06	1.4678532779199684e-06	1.9946906931730867e-06	1.2962936753108215e-06	1.9414512758432772e-07	4.819928212573009e-06	7.35463498603294e-07	3.8068844739398275e-07	7.859915160091969e-07	0.9999837372830417	8.742105782726735e-07	4.240181195627486e-07	4.386026826508913e-07	3.551387175453655e-07	4.3964804087054386e-07
HQ266613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n10841084	2.639210432376332e-05	9.595307520972183e-05	3.758387619190166e-05	0.00024163776727935182	0.0007018731279337888	0.0004233097398135094	0.00026744083260411074	3.0668506275310485e-05	0.002692009209577973	0.0013764141151619122	8.024492425650217e-05	0.00016452734704384424	6.979777435454336e-05	0.9934652585897468	8.994280710412531e-05	6.836634417133268e-05	7.532252360971092e-05	9.32573353417945e-05
n1283	2.3409156118746038e-06	8.427652518134207e-06	3.33361387521737e-06	2.143277472723597e-05	5.50260541385493e-05	3.837371859794647e-05	2.3689322823544026e-05	2.6946689452671878e-06	0.9996623122631484	1.3948431255120098e-05	7.116329797445199e-06	1.458386293314389e-05	5.705987053092294e-06	0.00011212533272534897	7.977744594024164e-06	5.958660936374896e-06	6.680931886658811e-06	8.271734432659454e-06
n1462	4.8865558360131504e-06	1.786388862958381e-05	6.958718900203139e-06	4.4739653734502275e-05	0.9967233633214952	0.0007652774926366786	4.955499162642904e-05	5.7084467156065954e-06	0.00022760811285916333	2.8949252742747385e-05	1.4858937330846335e-05	3.0473570950387603e-05	1.3494507901117992e-05	0.002005614402837703	1.665306495970667e-05	1.2782200630411055e-05	1.3946121949012684e-05	1.7266758264565842e-05
n15071507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
AB571004	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n15091509	4.7169551312723706e-14	1.601377034766074e-13	6.717424042574698e-14	4.3188194894472846e-13	2.3304058561631155e-13	7.561981920702694e-13	1.0915950235380264e-11	5.1323027959270783e-14	1.2406128984491516e-13	2.787645121176531e-13	1.4325463043406982e-13	2.930423530163451e-13	5.852744736824527e-14	2.0258140984800235e-13	1.607560827101581e-13	0.9999999999857748	1.3462186132077503e-13	1.666798921159306e-13
n16331633	2.1653384047068433e-06	7.34824989923141e-06	3.083662744173767e-06	1.982572859547855e-05	1.0651350239630953e-05	3.4713604450106413e-05	0.0009704097447625305	2.35510211202944e-06	5.6144557551821425e-06	1.2796801846306842e-05	6.57612257655071e-06	1.3450312444830318e-05	2.6695839744774313e-06	9.28371623101028e-06	7.379577924968628e-06	0.9988778452608443	6.179874297830168e-06	7.651512896548937e-06
n16391639	4.085030528798913e-08	1.3913497357075776e-07	5.817490842930225e-08	3.7402276841356785e-07	2.0894618150936487e-07	6.54890743939654e-07	4.2291328795192e-07	4.458585390062494e-08	1.1980297906752415e-07	2.414191112986811e-07	1.2406949197720127e-07	2.540785027759503e-07	5.331497978770645e-08	1.7787495363011314e-07	1.3921959583726278e-07	0.9999966857648569	1.1658670132837846e-07	1.4434980446895793e-07
KU055529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
n1647	7.553341081738587e-05	0.0002604448852214715	0.00010756652591331876	0.000691575567642001	0.9641174393161285	0.001210908506674829	0.0007688319139817655	8.341785417771622e-05	0.00030874493088997904	0.0004463933606983574	0.00022945402949401138	0.030169387185427485	0.00011712666264677872	0.0004664529979677882	0.0002574197357725906	0.00020682547794597544	0.0002155719644232495	0.0002669056741767073
n1874	2.1993330029460544e-06	7.460460027669808e-06	3.1320750979108114e-06	2.013698486777134e-05	0.9997564313397269	3.5258592193219335e-05	2.211064564657558e-05	2.3911068779602805e-06	5.616113607904781e-06	1.2997702122767303e-05	6.679318495907344e-06	8.640754967167713e-05	2.6931065277075717e-06	9.82326862303135e-06	7.49543452103791e-06	5.1184351860279025e-06	6.276895115984734e-06	7.771638686994945e-06
n19211921	1.767343459721763e-05	5.985472090957953e-05	2.5168795777773145e-05	0.00016181720381098954	0.01323221341943009	0.00028333165807097407	0.0001774615383211375	1.9184943471250183e-05	4.249262081899694e-05	0.00010444706715559269	5.3672384165865146e-05	0.9855120542984589	2.1080543526362516e-05	7.599965501890865e-05	6.023197168748464e-05	4.042426832603933e-05	5.0439979981727084e-05	6.245149647125983e-05
n20182018	1.4341387873644382e-06	4.855240905488123e-06	2.0423620423536632e-06	1.3130914727010835e-05	4.889288696198336e-05	2.2991397295918804e-05	1.439644089507255e-05	1.556250159772518e-06	3.3997205764359187e-06	8.475521060904647e-06	4.355304977342673e-06	0.9998493406212634	1.7003211535288637e-06	6.1131790073701584e-06	4.8876193158500555e-06	3.2673226728824437e-06	4.0930320524158765e-06	5.0677261449219e-06
n20202020	0.00013048515431318263	0.00044303424343941693	0.00018582412790558577	0.0011947152102782014	0.8010201362001859	0.0020918713997392178	0.0013127295902996535	0.00014198881865002717	0.0003444313797573294	0.0007711464482373145	0.000396286011517024	0.18962498934099498	0.00016216827465523407	0.0005953206810648275	0.000444699615612269	0.00030668232900374977	0.0003724045212349978	0.0004610866531112401
n2326	2.9781795887488096e-07	1.008093925265007e-06	4.2412362216247365e-07	2.7268089463176678e-06	1.4530852152169552e-05	4.774469068661401e-06	2.9892505260203557e-06	3.2312643604925777e-07	7.015728838954052e-07	1.7600543502379605e-06	9.044345713398993e-07	0.9999643480381607	3.5215359311590735e-07	1.2645538188951179e-06	1.0149791088448218e-06	6.773177378989521e-07	8.499724581487255e-07	1.0523806813630794e-06
n23272327	5.3545049458994184e-08	1.8130025102242737e-07	7.625368688270422e-08	4.902562051015334e-07	0.9999954815106046	8.584074813618053e-07	5.37561606773249e-07	5.8111833344655775e-08	1.2761305540139876e-07	3.1644233092978174e-07	1.6261015771720991e-07	7.170772814780087e-07	6.362803151326921e-08	2.2900051123463096e-07	1.8248429295996646e-07	1.2217128555195734e-07	1.5281756737632327e-07	1.8920876727046748e-07
GU186397	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n23372337	2.3501591401361378e-09	7.954803439709326e-09	3.3468701111474814e-09	2.1517960501776857e-08	1.1248071859107548e-08	3.767658027046469e-08	2.3588218785906096e-08	2.549773984983343e-09	5.527284999314337e-09	1.3889047395164469e-08	7.137124203003221e-09	1.4585957283241043e-08	2.7770202175856684e-09	0.9999998174872209	8.009464845504962e-09	5.342477289609042e-09	6.707354240649639e-09	8.304610399669936e-09
KF831535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n23752375	2.129192069680631e-09	7.207040320886135e-09	3.0321900785996527e-09	1.9494794905277084e-08	1.0206847155316434e-08	3.4134146113376174e-08	2.1370772547409187e-08	2.3100893338544804e-09	5.08554758892595e-09	1.2583169093016597e-08	6.466078651481438e-09	1.32157409814428e-08	2.5168797219236942e-09	0.9999998345492304	7.256397480857744e-09	4.841376748613914e-09	6.0767142029188775e-09	7.523792810196292e-09
n23942394	7.545541863435743e-07	2.554133798413574e-06	1.0745633166110057e-06	6.908666984468439e-06	3.62362951235019e-06	1.2096636585310782e-05	7.573632100847296e-06	8.186815612962458e-07	1.7780108251626879e-06	4.459289114716669e-06	2.291483606075984e-06	4.683933413898834e-06	8.923256117233561e-07	0.9999413828889534	2.5715599427929705e-06	1.7161919370084742e-06	2.153497655249642e-06	2.666320894353168e-06
n2397	1.1413271794520653e-18	3.870441820720679e-18	1.6253668177396247e-18	1.0449936767001407e-17	6.1849975471859464e-18	1.8297180248116793e-17	1.1471669895701878e-17	1.2405064919886533e-18	2.884068652539405e-18	6.745058106632332e-18	3.466165685679356e-18	7.135977752383102e-18	1.391109822224031e-18	1.0	3.8896993686127014e-18	2.6480371523589117e-18	3.257347199571198e-18	4.033033414185069e-18
n2400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n22	1.3066773423244933e-05	0.008593721019117713	1.4703749529290623e-06	1.7282989223655133e-05	2.099947941085514e-05	1.670657960707575e-05	1.1253187841697626e-05	6.141418048768082e-05	0.9897844937821618	6.1048180016689925e-06	0.0013880211345329797	6.661375689196074e-06	2.177899653733e-05	1.1221817947675869e-05	4.171710234915694e-06	5.2316941480839196e-06	2.9635690788387084e-05	6.764395893001483e-06
n10251025	3.81189683264645e-06	1.8212678358929567e-05	5.426020272889401e-06	3.488654554702028e-05	1.9903387411690878e-05	6.10823503115916e-05	3.833345218838284e-05	0.9995237269837516	0.00016685864891368977	2.2517590764440183e-05	1.1774157034263908e-05	2.3672052814553596e-05	6.678655810885863e-06	1.682645686917579e-05	1.2985218417586909e-05	8.961798522523835e-06	1.0878029667027281e-05	1.3464076511158891e-05
n1039	6.074181793453333e-06	0.9993378687319374	8.647885719338905e-06	5.5600753521957765e-05	3.4006231072346464e-05	9.735214315442356e-05	6.12195492494358e-05	1.0573974198574055e-05	0.00018088546498360632	3.588858227165138e-05	1.8633619090040503e-05	3.7764378204389376e-05	1.3580256494292525e-05	2.772474373612902e-05	2.0695526756424362e-05	1.4690838417115362e-05	1.7334652327319112e-05	2.1458487071968194e-05
FJ228543	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n10401040	8.964696558528659e-08	3.0565205286547653e-07	1.2766616065442679e-07	8.20820209392914e-07	4.385022177126344e-07	1.4371722018565202e-06	9.003059950834017e-07	9.794214599096952e-08	2.629395948595223e-07	5.297990080541078e-07	2.722780245495565e-07	5.564944149586661e-07	0.9999926930190086	3.8406959274125857e-07	3.0552057402762817e-07	2.055406309002184e-07	2.5585226025533014e-07	3.167789419972721e-07
n1072	8.253229484355262e-09	2.8926617721259803e-08	1.1753272042830913e-08	9.641594769008304e-08	4.39417405351957e-08	1.323101959861903e-07	8.307903224034667e-08	9.258813998931268e-09	4.272682642493951e-08	4.877540248802897e-08	2.5078279075681518e-08	5.1289082428212983e-08	0.9999992810096112	3.6776744640178174e-08	2.8127008012641583e-08	1.956005757792781e-08	2.355463589661031e-08	2.9163502809972045e-08
n1085	2.016364059301483e-05	6.993924485839076e-05	2.8714803351599954e-05	0.00018461561333759903	0.00024335314280288464	0.00032330569438984664	0.00020302774034023076	2.2395461280095536e-05	0.000718836246010382	0.0037714174356869396	6.125871136988101e-05	0.00012532198247910544	3.36782648975033e-05	0.993948490003655	6.87180083450547e-05	4.796683119634648e-05	5.7546892234557695e-05	7.125028317153154e-05
n1269	9.153433444587201e-07	3.225364966042987e-06	1.3035204373992697e-06	8.380706754986548e-06	1.5430291417969416e-05	1.4678258727618066e-05	9.236016248924804e-06	1.0321532128452401e-06	5.265394931521841e-05	2.8845321786477356e-05	2.78161221674081e-06	5.694731335539098e-06	1.8228834175913228e-06	0.9998427922237382	3.119484411807801e-06	2.2413212501589104e-06	2.612379506619282e-06	3.2344379114888755e-06
n12831283	2.122362327900516e-09	7.2961871525548405e-09	3.022443221582035e-09	1.943213905637658e-08	1.9929325000362613e-08	3.4030447796612166e-06	2.13448785358576e-08	2.3371787995366403e-09	0.9999964285390622	1.2568258259948307e-08	6.446958103549725e-09	1.318367827434691e-08	3.1634814028495143e-09	3.1813325974360954e-08	7.233072858248168e-09	4.9660447093784594e-09	6.0572129174212e-09	7.499611615843159e-09
n1460	2.445031323373936e-08	8.53297443646779e-08	3.481930768938329e-08	2.2386324650833114e-07	3.404503682287953e-07	3.962868783756952e-07	2.463912610888847e-07	2.7316964783403777e-08	0.9999972825480493	1.450787838755521e-07	7.428948916203322e-08	1.520231535815161e-07	4.388109713390854e-08	6.249411598139189e-07	8.332683126525206e-08	5.882490914551855e-08	6.978098383549844e-08	8.639745855695649e-08
n14621462	5.474111759228369e-06	1.9805155002877674e-05	7.795468123264952e-06	5.011934365686289e-05	0.996646145567343	0.0008858946111946599	5.543383734934127e-05	6.331314085844788e-06	0.00022124524431125077	3.241908307188019e-05	1.6642581908095353e-05	3.4114542315066815e-05	1.3911847653930299e-05	0.001936988306449647	1.865550668976531e-05	1.4057480699189803e-05	1.562301046023276e-05	1.9342987926054723e-05
n15021502	1.867840882937714e-08	6.32992959184192e-08	2.659997532879443e-08	1.7101865952200413e-07	0.9999983887389186	3.3994545264060005e-07	1.874996494889023e-07	2.0288474059896557e-08	5.6635476080111314e-08	1.1039042899743421e-07	5.672497861641615e-08	1.159242043694938e-07	2.25184856322381e-08	1.9622025551796453e-07	6.365695769694952e-08	4.254951318704259e-08	5.3308172943519746e-08	6.600269295723149e-08
DQ521241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DQ521240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DQ521237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
DQ521239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
n1510	3.706259507531695e-08	1.2544657158246292e-07	5.2780975861492365e-08	3.393436002502053e-07	1.7712105853496146e-07	5.941690593332584e-07	4.1470656529159035e-05	4.0209753398951815e-08	8.70936979546453e-08	2.190337352779767e-07	1.1255418817226241e-07	2.300050160436699e-07	4.377878732177239e-08	1.5713053510792813e-07	1.2631125695728916e-07	0.9999559505602168	1.0577664742567352e-07	1.3096577584149035e-07
n15631563	1.876689514000045e-63	6.352071811246916e-63	2.672600332941072e-63	1.7182892210820511e-62	8.968644320971896e-63	3.008615130505566e-62	1.4482907438816577e-60	2.0360479994144502e-63	4.4100481531034173e-63	1.1090921004670054e-62	5.699257277318245e-63	1.164645920994056e-62	2.2167684367788733e-63	7.956410683712986e-63	6.395855739463951e-63	1.0	5.356071927679061e-63	6.63154227717607e-63
n1629	3.603240656688494e-09	1.2195967013011208e-08	5.131388067602059e-09	3.299112365239932e-08	1.7219781770983895e-08	5.776535904151461e-08	3.6164671496799055e-08	3.909208676405673e-09	8.467284938281914e-09	2.129454935727553e-08	1.0942564223541186e-08	2.236118176177906e-08	4.256191612647485e-09	1.5276294908312917e-08	1.228003207927283e-08	0.9999997131249656	1.02836489392569e-08	1.273254630950243e-08
n16321632	1.7193121579621331e-12	5.819393251708106e-12	2.4484786702973612e-12	1.5741951594355013e-11	8.216542537490449e-12	2.7563155939853167e-11	1.725622216193195e-11	1.865306995894991e-12	4.040225807301304e-12	1.0160847164155685e-11	5.2213231092033646e-12	1.0669798476244052e-11	2.030872393271562e-12	7.289193827847371e-12	5.859505502322617e-12	0.9999999998631155	4.906916948957849e-12	6.075425917252562e-12
n1634	1.72413933025091e-08	5.8357461958484724e-08	2.4553530612091444e-08	1.578614897014635e-07	8.23983767635269e-08	2.7640542744589414e-07	0.9999913098094634	1.8705484632241618e-08	4.0519616805380855e-08	1.0189374955250882e-07	5.23598279809287e-08	1.0699764552714452e-07	2.036657751877567e-08	7.309736347028477e-08	5.875956751053575e-08	7.490541252949191e-06	4.920693697637953e-08	6.092483388238527e-08
n16381638	5.885899361779648e-08	1.993320882443981e-07	8.382128563367109e-08	5.38910409865806e-07	2.8303669605144376e-07	9.435979341946286e-07	6.069209992421326e-06	6.3891027028908e-08	1.4135143192524684e-07	3.478468854954652e-07	1.78748560132438e-07	3.653426811667517e-07	7.017093149368062e-08	2.501365061941149e-07	2.0059447208434854e-07	0.9999898291802435	1.6798356042144336e-07	2.0798630038371958e-07
